id,name,attribute,level,type,atk,def,passcode,frameType
10045,Hieratic Dragon of Tefnuit,LIGHT,6,Dragon,2100,1400,77901552,effect
10046,Hieratic Dragon of Su,LIGHT,6,Dragon,2200,1000,3300267,effect
10047,Hieratic Dragon of Asar,LIGHT,7,Dragon,2600,700,30794966,effect
10048,Hieratic Dragon of Sutekh,LIGHT,8,Dragon,2800,2000,66789970,effect
10049,Evoltile Lagosucho,FIRE,3,Reptile,1200,500,3283679,effect
10050,Evolsaur Darwino,FIRE,5,Dinosaur,2200,700,39672388,effect
10051,Inzektor Firefly,DARK,1,Insect,100,100,66066482,effect
10052,Inzektor Ladybug,DARK,2,Insect,500,100,2461031,effect
10053,Inzektor Earwig,DARK,4,Insect,1000,1000,38450736,effect
10054,Inzektor Giga-Cricket,DARK,5,Insect,2000,1300,65844845,effect
10055,Lightray Sorcerer,LIGHT,6,Spellcaster,2300,2000,91349449,effect
10056,Lightray Daedalus,LIGHT,7,Sea Serpent,2600,1500,38737148,effect
10057,Lightray Gearfried,LIGHT,8,Warrior,2800,2200,4722253,effect
10058,Lightray Diabolos,LIGHT,7,Dragon,2800,1000,30126992,effect
10059,Lady of D.,DARK,4,Spellcaster,1500,1100,67511500,effect
10060,Absorbing Jar,EARTH,3,Rock,600,500,3900605,effect
10061,Red-Headed Oni,DARK,4,Zombie,1700,1000,30494314,effect
10062,Flame Tiger,FIRE,4,Beast,1800,0,66499018,effect
10063,Nomadic Force,WIND,4,Warrior,1700,1000,92887027,effect
10104,Hazy Flame Hyppogrif,FIRE,6,Pyro,2100,200,31303283,effect
10105,"Alpacaribou, Mystical Beast of the Forest",EARTH,7,Beast,2700,2100,77797992,effect
10106,"Eco, Mystical Spirit of the Forest",EARTH,4,Plant,1700,1000,4192696,effect
10107,Beetron,DARK,4,Insect,1600,900,30587695,effect
10108,Snowdust Dragon,WATER,8,Dragon,2800,1800,67675300,effect
10109,Snow Dragon,WATER,4,Dragon,1400,900,3070049,effect
10110,Uminotaurus,WATER,4,Aqua,1700,1000,30464153,effect
10111,Fishborg Launcher,WATER,1,Fish,200,100,66853752,effect
10114,Dragard,DARK,4,Dragon,1300,1900,65737274,effect
10115,Noble Knight Artorigus,LIGHT,4,Warrior,1800,1800,92125819,normal
10116,Ancient Dragon,LIGHT,4,Dragon,1400,1300,38520918,effect
10117,Hieratic Seal of the Dragon King,LIGHT,6,Dragon,0,0,64514622,effect
10118,Evoltile Elginero,FIRE,2,Reptile,0,0,91903221,effect
10119,Lightray Grepher,LIGHT,4,Warrior,1700,1600,27407330,effect
10120,Tardy Orc,DARK,4,Fiend,2200,0,64892035,effect
10131,Trance the Magic Swordsman,EARTH,6,Spellcaster,2600,200,14214060,normal
10132,Damage Mage,DARK,3,Spellcaster,600,1200,50613779,effect
10133,ZW - Phoenix Bow,FIRE,3,Winged Beast,1100,0,87008374,effect
10134,Photon Caesar,LIGHT,8,Warrior,2000,2800,13492423,effect
10135,Heroic Challenger - Spartan,EARTH,4,Warrior,1600,1000,50491121,effect
10136,Heroic Challenger - War Hammer,EARTH,6,Warrior,2100,1300,26885836,effect
10137,Heroic Challenger - Swordshield,EARTH,4,Warrior,0,2000,52370835,effect
10138,Heroic Challenger - Double Lance,EARTH,4,Warrior,1700,900,89774530,effect
10139,Chronomaly Mayan Machine,EARTH,3,Machine,1500,700,25163248,effect
10140,Chronomaly Colossal Head,EARTH,4,Rock,800,1600,52158283,effect
10141,Chronomaly Golden Jet,LIGHT,4,Machine,1300,1400,88552992,effect
10142,Chronomaly Crystal Bones,LIGHT,3,Rock,1300,400,15941690,effect
10143,Chronomaly Crystal Skull,LIGHT,3,Rock,900,600,51435705,effect
10144,Chronomaly Moai,EARTH,5,Rock,1800,1600,87430304,effect
10145,Spellbook Magician of Prophecy,WATER,2,Spellcaster,500,400,14824019,effect
10146,Amores of Prophecy,EARTH,3,Spellcaster,600,2000,40213117,effect
10147,Temperance of Prophecy,EARTH,3,Spellcaster,1000,1000,87608852,effect
10148,Strength of Prophecy,FIRE,4,Spellcaster,1500,1400,13002461,effect
10149,Charioteer of Prophecy,WIND,4,Spellcaster,1800,1300,49191560,effect
10150,High Priestess of Prophecy,LIGHT,7,Spellcaster,2500,2100,86585274,effect
10151,Madolche Mewfeuille,EARTH,3,Beast,500,300,12980373,effect
10152,Madolche Baaple,EARTH,3,Beast,0,1800,49374988,effect
10153,Madolche Chouxvalier,EARTH,4,Warrior,1700,1300,75363626,effect
10154,Madolche Magileine,EARTH,4,Spellcaster,1400,1200,11868731,effect
10155,Madolche Butlerusk,EARTH,4,Spellcaster,1500,800,48252330,effect
10156,Madolche Puddingcess,EARTH,5,Fairy,1000,1000,74641045,effect
10157,Geargiano Mk-II,EARTH,3,Machine,1000,500,1045143,effect
10158,Geargiaccelerator,EARTH,4,Machine,1400,800,47030842,effect
10159,Geargiarsenal,EARTH,4,Machine,1500,500,73428497,effect
10160,Geargiarmor,EARTH,4,Machine,1100,1900,923596,effect
10161,"Uniflora, Mystical Beast of the Forest",EARTH,1,Beast,700,500,36318200,effect
10162,Little Trooper,EARTH,1,Warrior,900,500,73702909,effect
10163,Silver Sentinel,EARTH,4,Warrior,1500,1300,9791914,effect
10164,Dust Knight,EARTH,4,Warrior,1400,1200,35195612,effect
10165,Block Golem,EARTH,3,Rock,1000,1500,72580321,effect
10166,Atlantean Attack Squad,WATER,3,Sea Serpent,1400,0,8078366,effect
10167,Illusory Snatcher,DARK,7,Fiend,2400,1000,35073065,effect
10168,Grandsoil the Elemental Lord,EARTH,8,Beast-Warrior,2800,2200,61468779,effect
10169,Three Thousand Needles,EARTH,8,Beast,3000,1800,7852878,effect
10170,Goblin Marauding Squad,EARTH,4,Beast-Warrior,1900,0,34251483,effect
10211,Papa-Corn,EARTH,4,Plant,1200,800,73776643,effect
10215,Thunder Sea Horse,LIGHT,4,Thunder,1600,1200,48049769,effect
10218,"Poseidra, the Atlantean Dragon",WATER,7,Sea Serpent,2800,1600,47826112,effect
10219,Atlantean Dragoons,WATER,4,Sea Serpent,1800,0,74311226,effect
10220,Atlantean Marksman,WATER,3,Sea Serpent,1400,0,706925,effect
10221,Atlantean Heavy Infantry,WATER,2,Sea Serpent,0,1600,37104630,effect
10223,Gagaga Caesar,EARTH,3,Warrior,1800,600,9583383,effect
10224,Bull Blader,EARTH,4,Warrior,1600,1200,36088082,effect
10225,Achacha Chanbara,FIRE,3,Warrior,1400,400,62476197,effect
10226,Mogmole,EARTH,2,Beast,800,800,9861795,effect
10227,Grandram,EARTH,4,Rock,0,1400,35866404,effect
10228,Tripod Fish,WATER,3,Fish,300,1300,61254509,effect
10229,Deep Sweeper,WATER,4,Fish,1600,1300,8649148,effect
10230,Heroic Challenger - Extra Sword,EARTH,4,Warrior,1000,1000,34143852,effect
10231,Heroic Challenger - Night Watchman,EARTH,4,Warrior,1200,300,61132951,effect
10232,Planet Pathfinder,EARTH,4,Machine,1000,1000,97526666,effect
10233,Solar Wind Jammer,LIGHT,5,Machine,800,2400,33911264,effect
10234,Heraldic Beast Aberconway,WIND,4,Dragon,1800,900,60316373,effect
10235,Heraldic Beast Berners Falcon,WIND,4,Winged Beast,1000,1600,96704018,effect
10236,Mermail Abysslinde,WATER,3,Aqua,1500,1200,23899727,effect
10237,Mermail Abyssgunde,WATER,3,Aqua,1400,800,69293721,effect
10238,Mermail Abysshilde,WATER,3,Aqua,1300,400,96682430,effect
10239,Mermail Abyssturge,WATER,4,Fish,1700,1100,22076135,effect
10240,Mermail Abysspike,WATER,4,Fish,1600,800,58471134,effect
10241,Mermail Abysslung,WATER,4,Fish,1200,1800,95466842,effect
10242,Mermail Abyssmegalo,WATER,7,Sea Serpent,2400,1900,21954587,effect
10243,Stoic of Prophecy,WATER,1,Spellcaster,300,200,54359696,effect
10244,Hermit of Prophecy,EARTH,3,Spellcaster,1200,700,90743290,effect
10245,Justice of Prophecy,EARTH,3,Spellcaster,1600,800,26732909,effect
10246,Emperor of Prophecy,DARK,5,Spellcaster,2300,2000,53136004,effect
10247,Madolche Cruffssant,EARTH,3,Beast,1500,1200,89521713,effect
10248,Madolche Marmalmaide,EARTH,4,Spellcaster,800,2000,26016357,effect
10249,Madolche Messengelato,EARTH,4,Warrior,1600,1000,52404456,effect
10250,Abyss Warrior,WATER,4,Aqua,1800,1300,88409165,effect
10251,Snowman Creator,WATER,4,Machine,1600,1000,15893860,effect
10252,Fishborg Planter,WATER,2,Fish,200,200,51282878,effect
10253,Nimble Angler,WATER,2,Fish,600,100,88686573,effect
10254,Shore Knight,WATER,4,Warrior,1400,1200,14771222,effect
10255,Mecha Sea Dragon Plesion,WATER,5,Machine,2300,1800,40160226,effect
10256,Metallizing Parasite - Soltite,WATER,7,Aqua,1000,500,87564935,effect
10257,Moulinglacia the Elemental Lord,WATER,8,Sea Serpent,2800,2200,13959634,effect
10258,House Duston,LIGHT,1,Fiend,0,1000,40343749,effect
10259,Puny Penguin,WATER,1,Aqua,400,200,76442347,effect
10260,Missing Force,DARK,4,Warrior,1500,1000,12836042,effect
10303,Blackwing - Damascus the Polar Night,DARK,3,Winged Beast,1300,700,58131925,effect
10304,Pahunder,LIGHT,4,Thunder,1300,600,84530620,effect
10305,Mahunder,LIGHT,4,Thunder,1400,700,21524779,effect
10306,Sishunder,LIGHT,4,Thunder,900,400,57019473,effect
10309,Mono Synchron,DARK,1,Machine,0,0,56897896,effect
10310,Steam Synchron,WATER,3,Machine,600,800,83295594,effect
10311,Noble Knight Gawayn,LIGHT,4,Warrior,1900,500,19680539,effect
10312,Prophecy Destroyer,DARK,6,Spellcaster,2500,1200,56174248,effect
10313,Lightray Madoor,LIGHT,6,Spellcaster,1200,3000,82579942,effect
10314,Blue Dragon Ninja,WATER,5,Sea Serpent,2100,1200,14568951,effect
10315,Imairuka,WATER,2,Sea Serpent,1000,1000,41952656,effect
10316,Revival Golem,EARTH,4,Rock,100,2100,87347365,effect
10329,Brotherhood of the Fire Fist - Spirit,FIRE,3,Beast-Warrior,500,200,1662004,effect
10333,Photon Pirate,LIGHT,3,Machine,1000,1000,36834155,effect
10334,Photon Satellite,LIGHT,1,Machine,0,0,63223260,effect
10335,Photon Slasher,LIGHT,5,Warrior,2100,1000,9718968,effect
10336,Kuriphoton,LIGHT,1,Fiend,300,200,35112613,effect
10337,Dimension Wanderer,LIGHT,1,Spellcaster,0,0,62107612,effect
10338,Galaxy Wizard,LIGHT,4,Spellcaster,0,1800,98555327,effect
10339,Galaxy Knight,LIGHT,8,Warrior,2800,2600,35950025,effect
10345,Fire King High Avatar Garunix,FIRE,8,Winged Beast,2700,1700,23015896,effect
10346,Fire King Avatar Barong,FIRE,4,Beast-Warrior,1800,200,69000994,effect
10347,Fire King Avatar Kirin,FIRE,3,Beast,1000,200,96594609,effect
10350,Ignoble Knight of Black Laundsallyn,DARK,5,Warrior,2000,800,95772051,effect
10351,Mermail Abyssmander,WATER,4,Fish,100,2000,21767650,effect
10352,Red Dragon Ninja,FIRE,6,Winged Beast,2400,1200,58165765,effect
10353,Slushy,WATER,2,Aqua,0,0,84650463,effect
10360,Dododo Bot,EARTH,4,Machine,1800,1900,19700943,effect
10361,Gogogo Ghost,DARK,4,Zombie,1900,0,56105047,effect
10362,Bacon Saver,DARK,2,Zombie,700,600,82593786,effect
10363,Amarylease,EARTH,1,Plant,100,200,18988391,effect
10364,ZW - Lightning Blade,LIGHT,5,Beast,1200,2000,45082499,effect
10365,ZW - Tornado Bringer,WIND,5,Dragon,1300,1800,81471108,effect
10366,ZW - Ultimate Shield,EARTH,4,Aqua,0,2000,18865703,effect
10367,Gagaga Clerk,EARTH,2,Warrior,400,800,44250812,effect
10368,Spear Shark,WATER,4,Fish,1600,1400,70655556,effect
10369,Double Shark,WATER,4,Fish,1200,1600,17643265,effect
10370,Xyz Remora,WATER,4,Fish,800,800,43138260,effect
10371,Hyper-Ancient Shark Megalodon,WATER,8,Fish,2900,1300,10532969,effect
10372,Heraldic Beast Basilisk,EARTH,4,Beast,1000,1400,56921677,effect
10373,Heraldic Beast Eale,EARTH,4,Beast,1000,1800,82315772,effect
10374,Heraldic Beast Twin-Headed Eagle,WIND,4,Winged Beast,1200,1400,19310321,effect
10375,Heraldic Beast Unicorn,LIGHT,4,Beast,1100,1600,45705025,effect
10376,Heraldic Beast Leo,EARTH,4,Beast,2000,1000,82293134,effect
10377,Garbage Ogre,DARK,3,Fiend,800,1300,18698739,effect
10378,Garbage Lord,DARK,5,Fiend,0,2400,44682448,effect
10379,Orbital 7,LIGHT,4,Machine,500,2000,71071546,effect
10380,Brotherhood of the Fire Fist - Hawk,FIRE,3,Beast-Warrior,200,1500,17475251,effect
10381,Brotherhood of the Fire Fist - Raven,FIRE,3,Beast-Warrior,200,1800,44860890,effect
10382,Brotherhood of the Fire Fist - Gorilla,FIRE,4,Beast-Warrior,1600,1000,70355994,effect
10383,Brotherhood of the Fire Fist - Bear,FIRE,4,Beast-Warrior,1600,1200,6353603,effect
10384,Brotherhood of the Fire Fist - Dragon,FIRE,4,Beast-Warrior,1800,400,43748308,effect
10385,Brotherhood of the Fire Fist - Snake,FIRE,4,Beast-Warrior,1800,600,75132317,effect
10386,Brotherhood of the Fire Fist - Swallow,FIRE,5,Beast-Warrior,2000,800,2521011,effect
10387,Hazy Flame Cerbereus,FIRE,6,Beast,2000,200,38525760,effect
10388,Hazy Flame Griffin,FIRE,6,Winged Beast,200,2100,74010769,effect
10389,Hazy Flame Sphynx,FIRE,6,Beast-Warrior,1900,1900,1409474,effect
10390,Hazy Flame Peryton,FIRE,6,Pyro,1600,1700,37803172,effect
10391,Mermail Abyssdine,WATER,3,Aqua,1000,200,74298287,effect
10392,Mermail Abyssnose,WATER,4,Fish,1500,1500,282886,effect
10393,Mermail Abyssleed,WATER,7,Sea Serpent,2700,1000,37781520,effect
10394,Fool of Prophecy,EARTH,3,Spellcaster,1600,900,63175639,effect
10395,Reaper of Prophecy,DARK,6,Spellcaster,2000,1600,9560338,effect
10396,Brushfire Knight,FIRE,4,Warrior,1400,1200,36569343,effect
10397,Inari Fire,FIRE,4,Pyro,1500,200,62953041,effect
10398,Valkyrian Knight,FIRE,4,Warrior,1900,1200,99348756,effect
10399,Pyrorex the Elemental Lord,FIRE,8,Dinosaur,2800,2200,35842855,effect
10400,Pyrotech Mech - Shiryu,FIRE,8,Pyro,2900,1800,61231400,effect
10401,Leotaur,EARTH,4,Beast-Warrior,1500,1600,98225108,effect
10402,Star Drawing,EARTH,4,Spellcaster,1600,1000,24610207,effect
10403,Red Duston,FIRE,1,Fiend,0,1000,61019812,effect
10440,Constellar Sombre,LIGHT,4,Fairy,1550,1600,78358521,effect
10441,Evilswarm Kerykeion,DARK,4,Spellcaster,1600,1550,4756629,effect
10443,Coach Captain Bearman,FIRE,8,Beast-Warrior,2600,2700,67136033,effect
10444,Coach Soldier Wolfbark,FIRE,4,Beast-Warrior,1600,1200,3534077,effect
10445,Brotherhood of the Fire Fist - Rooster,FIRE,3,Beast-Warrior,1500,100,30929786,effect
10446,Fire King Avatar Yaksha,FIRE,4,Beast-Warrior,1800,200,66413481,effect
10447,Gimmick Puppet Dreary Doll,DARK,8,Machine,0,0,92418590,effect
10448,Gimmick Puppet Magnet Doll,DARK,8,Machine,1000,1000,39806198,effect
10449,Chronomaly Tula Guardian,EARTH,5,Rock,1800,900,5291803,effect
10450,Big Belly Knight,EARTH,4,Warrior,1000,1600,32696942,effect
10458,White Dragon Wyverburster,LIGHT,4,Dragon,1700,1800,99234526,effect
10459,Kidmodo Dragon,EARTH,3,Dragon,100,200,35629124,effect
10460,Fishborg Archer,WATER,3,Fish,300,300,62023839,effect
10463,Black Dragon Collapserpent,DARK,4,Dragon,1800,1700,61901281,effect
10464,Fencing Fire Ferret,FIRE,4,Beast,1700,600,97396380,effect
10465,Kujakujaku,WIND,3,Winged Beast,1200,900,24384095,effect
10469,Noble Knight Medraut,LIGHT,4,Warrior,1700,1000,59057152,effect
10470,Hazy Flame Mantikor,FIRE,6,Winged Beast,2200,300,96051150,effect
10471,Mermail Abyssteus,WATER,7,Aqua,1700,2400,22446869,effect
10472,Bonfire Colossus,FIRE,8,Beast-Warrior,2600,2200,59834564,effect
10473,Mystical Fairy Elfuria,WIND,3,Spellcaster,1500,900,85239662,effect
10478,Dododo Buster,EARTH,6,Warrior,1900,800,57996334,effect
10482,Bachibachibachi,LIGHT,3,Insect,800,800,83272895,effect
10483,Gogogo Gigas,EARTH,4,Rock,0,2200,19667590,effect
10484,Mimimic,EARTH,3,Machine,300,300,45651298,effect
10485,Dotedotengu,WIND,3,Fiend,0,800,82050203,effect
10486,Tatakawa Knight,EARTH,4,Warrior,1500,0,18444902,effect
10487,Little Fairy,LIGHT,3,Fairy,800,800,45939611,effect
10488,Sharkraken,WATER,6,Fish,2400,2100,71923655,effect
10489,Big Whale,WATER,9,Fish,1000,3000,18322364,effect
10490,Starfish,WATER,3,Aqua,300,300,44717069,effect
10491,Panther Shark,WATER,5,Fish,1100,2000,70101178,effect
10492,Eagle Shark,WATER,5,Fish,1000,1800,7500772,effect
10493,Blizzard Falcon,WATER,4,Winged Beast,1500,1500,43694481,effect
10494,Aurora Wing,WATER,4,Winged Beast,1200,1600,70089580,effect
10495,"Radius, the Half-Moon Dragon",LIGHT,4,Dragon,1400,1200,6483224,effect
10496,"Parsec, the Interstellar Dragon",LIGHT,8,Dragon,800,800,32872833,effect
10497,Battlin' Boxer Headgeared,FIRE,4,Warrior,1000,1800,79867938,effect
10498,Battlin' Boxer Glassjaw,FIRE,4,Warrior,2000,0,5361647,effect
10499,Battlin' Boxer Sparrer,FIRE,4,Warrior,1200,1400,32750341,effect
10500,Battlin' Boxer Switchitter,FIRE,4,Warrior,1500,1400,68144350,effect
10501,Battlin' Boxer Counterpunch,FIRE,3,Warrior,0,1100,4549095,effect
10502,Mecha Phantom Beast Megaraptor,WIND,4,Machine,1900,1000,31533704,effect
10503,Mecha Phantom Beast Tetherwolf,WIND,4,Machine,1700,1200,67922702,effect
10504,Mecha Phantom Beast Blackfalcon,WIND,4,Machine,1200,1700,4417407,effect
10505,Mecha Phantom Beast Stealthray,WIND,3,Machine,100,2100,30811116,effect
10506,Mecha Phantom Beast Hamstrat,WIND,3,Machine,1100,1600,66200210,effect
10507,Brotherhood of the Fire Fist - Wolf,FIRE,3,Beast-Warrior,0,1900,93294869,effect
10508,Brotherhood of the Fire Fist - Leopard,FIRE,3,Beast-Warrior,0,200,39699564,effect
10509,Brotherhood of the Fire Fist - Rhino,FIRE,4,Beast-Warrior,1700,1400,66084673,effect
10510,Brotherhood of the Fire Fist - Buffalo,FIRE,4,Beast-Warrior,1700,1000,92572371,effect
10511,Mermail Abyssocea,WATER,3,Aqua,1100,1900,28577986,effect
10512,Wheel of Prophecy,DARK,8,Spellcaster,2700,1700,65961085,effect
10513,Madolche Hootcake,EARTH,3,Beast,1500,1100,91350799,effect
10514,Legendary Atlantean Tridon,WATER,3,Sea Serpent,1600,800,28754338,effect
10515,Fire King Avatar Garunix,FIRE,3,Winged Beast,700,1700,54149433,effect
10516,Harpie Channeler,WIND,4,Winged Beast,1400,1300,90238142,effect
10517,Altitude Knight,WIND,4,Warrior,1400,1200,27632240,effect
10518,Windrose the Elemental Lord,WIND,8,Winged Beast,2800,2200,53027855,effect
10519,"Redox, Dragon Ruler of Boulders",EARTH,7,Dragon,1600,3000,90411554,effect
10520,"Tidal, Dragon Ruler of Waterfalls",WATER,7,Dragon,2600,2000,26400609,effect
10521,"Blaster, Dragon Ruler of Infernos",FIRE,7,Dragon,2800,1800,53804307,effect
10522,"Tempest, Dragon Ruler of Storms",WIND,7,Dragon,2400,2200,89399912,effect
10523,Risebell the Star Adjuster,WIND,3,Psychic,800,800,25788011,effect
10524,Green Duston,WIND,1,Fiend,0,1000,52182715,effect
10563,Harpie Dancer,WIND,4,Winged Beast,1200,1000,68815132,effect
10564,Gagaga Child,DARK,2,Spellcaster,800,1200,94203886,effect
10565,Magical Undertaker,DARK,2,Spellcaster,400,400,30608985,effect
10566,Caligo Claw Crow,DARK,2,Winged Beast,900,600,67692580,effect
10571,ZW - Eagle Claw,WIND,5,Winged Beast,2000,1200,29353756,effect
10572,Ganbara Lancer,LIGHT,5,Warrior,1000,2000,65758454,effect
10573,Bite Bug,EARTH,3,Insect,300,1000,92142169,effect
10574,Crane Crane,EARTH,3,Winged Beast,300,900,28637168,effect
10575,Gentlemander,LIGHT,4,Reptile,1200,1000,54635862,effect
10576,"Reactan, Dragon Ruler of Pebbles",EARTH,4,Dragon,1800,1200,91020571,effect
10577,"Stream, Dragon Ruler of Droplets",WATER,4,Dragon,1600,2000,27415516,effect
10578,Duck Fighter,WIND,3,Machine,1300,1400,54813225,effect
10579,Interplanetarypurplythorny Beast,DARK,5,Beast,1100,2200,80208323,effect
10581,"Burner, Dragon Ruler of Sparks",FIRE,3,Dragon,1000,200,53797637,effect
10582,"Lightning, Dragon Ruler of Drafts",WIND,3,Dragon,500,1800,89185742,effect
10583,Madolche Chickolates,EARTH,3,Beast,800,1500,26570480,effect
10584,Vivid Knight,LIGHT,4,Beast-Warrior,1700,800,52575195,effect
10586,Starship Spy Plane,WIND,4,Machine,1100,500,15458892,effect
10587,Rose Archer,EARTH,3,Warrior,1000,100,51852507,effect
10588,Maiden with Eyes of Blue,LIGHT,1,Spellcaster,0,0,88241506,effect
10589,Rider of the Storm Winds,LIGHT,1,Dragon,500,200,14235211,effect
10594,Mecha Phantom Beast Turtletracer,WIND,3,Machine,500,2000,76902476,effect
10595,Noble Knight Gwalchavad,LIGHT,4,Warrior,1500,1800,13391185,effect
10596,Brotherhood of the Fire Fist - Coyote,FIRE,5,Beast-Warrior,2000,500,49785720,effect
10597,Mermail Abyssbalaen,WATER,7,Aqua,2500,2000,75180828,effect
10598,Trifortressops,DARK,6,Machine,1600,2800,12275533,effect
10599,Ghost Fairy Elfobia,WIND,3,Psychic,900,500,44663232,effect
10604,DZW - Chimera Clad,DARK,1,Fiend,0,0,6330307,effect
10605,V Salamander,FIRE,4,Spellcaster,1500,1300,33725002,effect
10606,Interceptomato,EARTH,2,Plant,800,800,19113101,effect
10607,Spell Recycler,DARK,1,Spellcaster,0,0,45118716,effect
10608,Xyz Agent,LIGHT,2,Spellcaster,900,300,72502414,effect
10609,Super Defense Robot Lio,EARTH,4,Machine,1200,1600,8091563,effect
10610,Super Defense Robot Elephan,EARTH,8,Machine,1400,2500,45496268,effect
10611,Super Defense Robot Monki,EARTH,3,Machine,800,1200,71880877,effect
10612,Star Seraph Scout,LIGHT,4,Fairy,1200,1800,8875971,effect
10613,Star Seraph Sage,LIGHT,4,Fairy,1600,1400,44273680,effect
10614,Star Seraph Sword,LIGHT,4,Fairy,1400,1000,70668285,effect
10615,Umbral Horror Ghoul,DARK,4,Fiend,1800,0,7152333,effect
10616,Umbral Horror Unform,DARK,4,Fiend,0,0,33551032,effect
10617,Umbral Horror Will o' the Wisp,DARK,1,Fiend,0,0,70546737,effect
10618,Schwarzschild Limit Dragon,DARK,8,Dragon,2000,0,6930746,effect
10619,Bujin Yamato,LIGHT,4,Beast-Warrior,1800,200,32339440,effect
10620,Bujingi Quilin,LIGHT,4,Beast,1600,900,69723159,effect
10621,Bujingi Turtle,LIGHT,4,Beast,1700,1200,5818294,effect
10622,Bujingi Wolf,LIGHT,4,Beast,1100,2000,32202803,effect
10623,Bujingi Crane,LIGHT,4,Winged Beast,1600,300,68601507,effect
10624,Bujingi Ophidian,LIGHT,4,Winged Beast,1700,500,94096616,effect
10625,Mecha Phantom Beast Warbluran,WIND,1,Machine,300,300,31480215,effect
10626,Mecha Phantom Beast Blue Impala,WIND,3,Machine,1400,1100,67489919,effect
10627,Mecha Phantom Beast Coltwing,WIND,4,Machine,1600,1500,94973028,effect
10628,Mecha Phantom Beast Harrliard,WIND,4,Machine,1800,800,20368763,effect
10629,Brotherhood of the Fire Fist - Boar,FIRE,4,Beast-Warrior,1100,1400,66762372,effect
10630,Brotherhood of the Fire Fist - Caribou,FIRE,4,Beast-Warrior,1100,2000,93751476,effect
10631,World of Prophecy,LIGHT,9,Spellcaster,2900,2400,29146185,effect
10632,Archfiend Heiress,DARK,3,Fiend,1000,0,66540884,effect
10633,Archfiend Cavalry,DARK,4,Fiend,1900,0,92039899,effect
10634,"Archfiend Emperor, the First Lord of Horror",DARK,8,Fiend,3000,2000,28423537,effect
10635,Traptrix Atrax,EARTH,4,Insect,1800,1000,55428242,effect
10636,Traptrix Myrmeleo,EARTH,4,Insect,1600,1200,91812341,effect
10637,Traptrix Nepenthes,EARTH,4,Plant,800,2000,28201945,effect
10638,The Calibrator,LIGHT,4,Thunder,1500,1500,54706054,effect
10639,"Talaya, Princess of Cherry Blossoms",WATER,8,Plant,2800,1200,80190753,effect
10640,Cheepcheepcheep,WIND,1,Winged Beast,300,200,27189308,effect
10641,Masked Chameleon,EARTH,4,Reptile,1600,1100,53573406,effect
10642,"Flying ""C""",EARTH,3,Insect,700,700,80978111,effect
10643,Yellow Duston,EARTH,1,Fiend,0,1000,16366810,effect
10686,Archfiend Commander,DARK,6,Fiend,2500,1200,68371799,effect
10687,Chronomaly Aztec Mask Golem,EARTH,4,Rock,1500,1000,94766498,effect
10688,Chronomaly Cabrera Trebuchet,EARTH,4,Rock,0,1800,20154092,effect
10689,Chronomaly Mud Golem,EARTH,4,Rock,1700,1000,67559101,effect
10690,Chronomaly Sol Monolith,EARTH,6,Rock,600,600,93543806,effect
10691,Gimmick Puppet Egg Head,EARTH,4,Machine,1600,1200,20032555,effect
10692,Gimmick Puppet Gear Changer,EARTH,1,Machine,100,100,56427559,effect
